match_id,date,team1,team2,venue,city,winner,toss_winner,toss_decision,event,opponent,india_result,year,india_won_toss,india_batted_first
1335792,04-10-2022,India,United Arab Emirates,"Sylhet International Cricket Stadium, Academy Ground",Sylhet,India,India,bat,Women's Asia Cup,United Arab Emirates,Win,2022,TRUE,TRUE
1335797,07-10-2022,Pakistan,India,Sylhet International Cricket Stadium,Sylhet,Pakistan,Pakistan,bat,Women's Asia Cup,Pakistan,Loss,2022,FALSE,FALSE
1335799,08-10-2022,India,Bangladesh,Sylhet International Cricket Stadium,Sylhet,India,India,bat,Women's Asia Cup,Bangladesh,Win,2022,TRUE,TRUE
1335803,10-10-2022,Thailand,India,Sylhet International Cricket Stadium,Sylhet,India,India,field,Women's Asia Cup,Thailand,Win,2022,TRUE,FALSE
1335806,13-10-2022,India,Thailand,Sylhet International Cricket Stadium,Sylhet,India,Thailand,field,Women's Asia Cup,Thailand,Win,2022,FALSE,TRUE
1335808,15-10-2022,Sri Lanka,India,Sylhet International Cricket Stadium,Sylhet,India,Sri Lanka,bat,Women's Asia Cup,Sri Lanka,Win,2022,FALSE,FALSE
1338043,12-02-2023,Pakistan,India,"Newlands, Cape Town",Cape Town,India,Pakistan,bat,ICC Women's T20 World Cup,Pakistan,Win,2023,FALSE,FALSE
1338048,15-02-2023,West Indies,India,"Newlands, Cape Town",Cape Town,India,West Indies,bat,ICC Women's T20 World Cup,West Indies,Win,2023,FALSE,FALSE
1338053,18-02-2023,England,India,"St George's Park, Gqeberha",Gqeberha,England,India,field,ICC Women's T20 World Cup,England,Loss,2023,TRUE,FALSE
1338057,20-02-2023,India,Ireland,"St George's Park, Gqeberha",Gqeberha,India,India,bat,ICC Women's T20 World Cup,Ireland,Win,2023,TRUE,TRUE
1338060,23-02-2023,Australia,India,"Newlands, Cape Town",Cape Town,Australia,Australia,bat,ICC Women's T20 World Cup,Australia,Loss,2023,FALSE,FALSE
1344511,19-01-2023,India,South Africa,"Buffalo Park, East London",East London,India,South Africa,field,South Africa Women's T20I Tri-Series,South Africa,Win,2023,FALSE,TRUE
1344513,23-01-2023,India,West Indies,"Buffalo Park, East London",East London,India,India,bat,South Africa Women's T20I Tri-Series,West Indies,Win,2023,TRUE,TRUE
1344515,28-01-2023,India,South Africa,"Buffalo Park, East London",East London,,India,bat,South Africa Women's T20I Tri-Series,South Africa,No Result,2023,TRUE,TRUE
1344516,30-01-2023,West Indies,India,"Buffalo Park, East London",East London,India,India,field,South Africa Women's T20I Tri-Series,West Indies,Win,2023,TRUE,FALSE
1344517,02-02-2023,India,South Africa,"Buffalo Park, East London",East London,South Africa,India,bat,South Africa Women's T20I Tri-Series,South Africa,Loss,2023,TRUE,TRUE
1345424,09-12-2022,India,Australia,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Australia,Australia,field,Australia Women tour of India,Australia,Loss,2022,FALSE,TRUE
